['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 5', 'Squat Jump', '12/12/2019 16:43', '83.1', 'Trial 2', '', '', '', '', '1.8', '-3.2', '-4.9', '-3.6', '4.6', '1.8', '-2.8', '5.7', '-10.0', '1.3', '', '0.6', '-0.8', '3.8', '4.6', '-3.0', '1.0', '', '0.5', '-0.9', '-16.0', '-11.4', '', '', '241.8', '246.1', '56.8', '55.0', '0.23', '0.22', '23.7', '22.8', '4138', '4336', '731', '744', '3327', '3234', '2695', '2859', '2726', '2454', '2566', '2599', '', '', '957', '962', '110.1', '109.2', '131.7', '136.9', '1.20', '1.25', '462.4', '448.7', '238.9', '241.3', '', '', '1037', '1042', '49.3', '48.9', '83043', '69716', '4484', '3974']
['Athlete 6', 'Squat Jump', '12/12/2019 16:13', '93.8', 'Trial 1', '', '', '', '', '2.4', '-3.9', '-6.1', '1.9', '-10.9', '2.4', '-43.5', '-5.9', '-52.1', '5.5', '', '7.6', '-5.0', '7.8', '12.4', '15.5', '1.5', '', '5.4', '54.6', '43.3', '25.7', '', '', '313.8', '321.4', '54.9', '52.8', '0.18', '0.16', '24.4', '24.9', '3618', '3222', '758', '777', '2497', '1412', '2084', '1960', '1450', '694', '1932', '2045', '', '', '976', '1057', '141.1', '134.1', '172.6', '187.3', '1.22', '1.40', '578.4', '684.2', '310.3', '315.0', '', '', '1060', '1120', '25.8', '56.9', '55090', '97187', '3250', '4373']
['Athlete 6', 'Squat Jump', '12/12/2019 16:13', '93.8', 'Trial 2', '', '', '', '', '2.5', '-11.8', '-14.0', '-13.9', '9.6', '2.5', '3.0', '18.0', '-24.7', '19.8', '', '7.0', '-4.9', '8.1', '12.6', '-3.4', '2.1', '', '8.3', '18.7', '-18.5', '-20.3', '', '', '288.0', '295.3', '65.2', '57.5', '0.23', '0.19', '27.8', '23.9', '4300', '4756', '817', '837', '3370', '3475', '2568', '3132', '2912', '2194', '2333', '2907', '', '', '1034', '1112', '132.5', '126.1', '155.5', '169.2', '1.17', '1.34', '606.1', '585.5', '284.4', '290.4', '', '', '1100', '1199', '41.6', '51.2', '124636', '101620', '5609', '4471']
['Athlete 7', 'Squat Jump', '12/12/2019 16:13', '98', 'Trial 1', '', '', '', '', '-8.1', '1.7', '9.7', '2.3', '-19.8', '-8.1', '-12.1', '-26.2', '32.7', '-16.0', '', '-12.1', '-4.9', '-10.6', '-6.0', '14.0', '-7.5', '', '-8.2', '36.3', '24.4', '19.7', '', '', '346.3', '318.2', '54.2', '55.1', '0.16', '0.17', '24.5', '25.1', '4496', '3604', '810', '744', '2248', '1976', '2013', '1486', '358', '532', '2007', '1685', '', '', '1114', '979', '149.7', '142.5', '196.6', '175.8', '1.31', '1.23', '550.4', '640.0', '339.7', '314.2', '', '', '1155', '1060', '56.7', '89.0', '39870', '52723', '2751', '3427']
['Athlete 7', 'Squat Jump', '12/12/2019 16:13', '98', 'Trial 2', '', '', '', '', '-8.2', '-4.9', '3.5', '-1.3', '-20.0', '-8.2', '-21.4', '-10.0', '-26.2', '-8.9', '', '-9.8', '-7.3', '-8.9', '-1.7', '-8.5', '-7.3', '', '-5.1', '22.0', '-27.9', '-17.8', '', '', '336.1', '308.7', '61.2', '58.3', '0.18', '0.19', '25.6', '25.3', '5526', '4422', '841', '772', '3525', '2769', '2289', '2060', '1562', '1152', '2042', '1860', '', '', '1068', '963', '152.9', '141.7', '183.2', '166.9', '1.20', '1.18', '615.7', '563.1', '329.4', '305.3', '', '', '1106', '1050', '63.5', '81.4', '65902', '47491', '3756', '3087']
['Athlete 8', 'Squat Jump', '12/12/2019 15:34', '82.6', 'Trial 1', '', '', '', '', '-4.7', '-4.3', '0.4', '1.2', '-14.6', '-4.7', '-83.9', '-18.2', '49.4', '-11.1', '', '3.1', '-12.3', '0.5', '12.7', '12.9', '-6.4', '', '-6.3', '13.2', '27.5', '26.4', '', '', '294.9', '281.1', '38.9', '37.2', '0.13', '0.13', '18.6', '18.8', '7186', '6134', '736', '702', '923', '149', '3107', '2543', '-680', '-1016', '2351', '2091', '', '', '968', '998', '119.1', '104.5', '175.8', '176.6', '1.48', '1.69', '438.1', '503.3', '261.2', '244.4', '', '', '1095', '1025', '55.0', '63.4', '56288', '77634', '3715', '5046']
['Athlete 8', 'Squat Jump', '12/12/2019 15:34', '82.6', 'Trial 2', '', '', '', '', '2.4', '5.8', '3.6', '7.9', '-4.8', '2.4', '-100.0', '-10.7', '100.0', '-14.6', '', '1.9', '1.3', '3.0', '1.7', '9.6', '-0.1', '', '-6.1', '17.8', '39.2', '35.9', '', '', '295.3', '302.5', '36.7', '39.0', '0.12', '0.13', '18.4', '20.0', '6704', '6380', '684', '701', '62', '-316', '2521', '2252', '-286', '-694', '2263', '1932', '', '', '969', '987', '109.5', '110.9', '185.8', '191.6', '1.70', '1.73', '459.8', '508.6', '252.5', '252.3', '', '', '1102', '1035', '66.2', '80.4', '35763', '58841', '2790', '4354']
['Athlete 8', 'Squat Jump', '12/12/2019 15:34', '82.6', 'Trial 3', '', '', '', '', '-1.9', '6.7', '8.5', '4.9', '-17.8', '-1.9', '-100.0', '-12.1', '-69.4', '-14.1', '', '-3.5', '0.5', '-3.1', '-3.6', '0.3', '-4.3', '', '-8.6', '27.1', '-16.5', '-4.0', '', '', '296.2', '290.6', '35.6', '38.2', '0.12', '0.13', '18.6', '19.6', '7162', '5884', '706', '692', '-323', '-105', '2567', '2258', '-732', '-432', '2405', '2067', '', '', '1026', '990', '104.1', '104.6', '192.1', '186.0', '1.85', '1.78', '624.6', '626.7', '252.0', '241.1', '', '', '1149', '1050', '49.7', '68.2', '50870', '42494', '3408', '3272']
['Athlete 9', 'Squat Jump', '12/12/2019 15:31', '80.5', 'Trial 1', '', '', '', '', '0.4', '2.9', '2.5', '4.4', '-9.1', '0.4', '-4.7', '-7.9', '-11.3', '-1.4', '', '1.7', '1.5', '-0.4', '-1.9', '-5.4', '0.8', '', '1.5', '-9.7', '0.7', '6.3', '', '', '269.3', '270.4', '48.3', '49.8', '0.18', '0.18', '21.3', '22.3', '2590', '2354', '646', '649', '1969', '1877', '1595', '1469', '1634', '1450', '1512', '1491', '', '', '846', '860', '119.4', '121.2', '149.9', '149.2', '1.26', '1.23', '541.9', '512.6', '264.7', '266.8', '', '', '890', '904', '62.0', '56.0', '32221', '32438', '2159', '2303']
['Athlete 9', 'Squat Jump', '12/12/2019 15:31', '80.5', 'Trial 2', '', '', '', '', '0.4', '-2.3', '-2.7', '-1.5', '-14.3', '0.4', '-11.1', '-1.4', '-19.1', '6.7', '', '5.8', '-2.2', '2.8', '4.9', '-7.3', '0.7', '', '4.5', '-10.8', '-23.2', '-15.0', '', '', '257.5', '258.7', '55.2', '54.0', '0.21', '0.21', '24.0', '23.6', '3396', '2912', '663', '665', '2794', '2484', '1753', '1728', '3370', '2726', '1494', '1601', '', '', '810', '860', '122.6', '119.9', '134.9', '138.8', '1.10', '1.16', '571.8', '530.2', '253.5', '255.2', '', '', '850', '889', '52.8', '47.1', '30077', '23090', '1955', '1662']
['Athlete 10', 'Squat Jump', '12/12/2019 11:53', '87.5', 'Trial 1', '', '', '', '', '-2.8', '4.8', '7.5', '5.6', '1.4', '-2.8', '-1.6', '-9.7', '4.9', '-14.8', '', '-8.0', '1.2', '-6.4', '-7.5', '-10.5', '-2.4', '', '-6.2', '-22.4', '12.8', '-4.7', '', '', '284.9', '276.9', '59.0', '62.0', '0.21', '0.22', '24.4', '25.9', '4460', '4522', '741', '720', '3475', '3420', '2013', '1819', '3170', '3334', '1694', '1443', '', '', '917', '843', '134.0', '135.6', '150.9', '141.2', '1.13', '1.04', '712.5', '637.5', '280.3', '273.6', '', '', '936', '878', '66.4', '51.5', '19523', '22378', '1620', '1544']
['Athlete 10', 'Squat Jump', '12/12/2019 11:53', '87.5', 'Trial 2', '', '', '', '', '-1.7', '-0.6', '1.1', '-0.7', '3.9', '-1.7', '-2.1', '-9.0', '-9.8', '-9.8', '', '-3.0', '-1.9', '-1.5', '0.4', '3.7', '-2.7', '', '-4.9', '-21.0', '37.2', '27.2', '', '', '290.4', '285.4', '60.6', '60.2', '0.21', '0.21', '24.8', '24.6', '4858', '5054', '734', '721', '3735', '3655', '1914', '1741', '3146', '2838', '1516', '1367', '', '', '872', '846', '141.4', '138.7', '149.0', '146.8', '1.05', '1.06', '677.7', '703.5', '288.1', '280.4', '', '', '909', '864', '62.7', '49.5', '23098', '36778', '1848', '2538']
['Athlete 11', 'Squat Jump', '12/12/2019 11:52', '101', 'Trial 1', '', '', '', '', '0.4', '8.9', '8.6', '9.6', '-17.3', '0.4', '6.2', '-7.4', '43.9', '-4.6', '', '0.1', '4.6', '-2.9', '-7.4', '-5.0', '1.1', '', '-1.2', '-15.8', '-34.1', '-27.9', '', '', '309.3', '310.5', '60.8', '66.8', '0.20', '0.22', '26.2', '28.9', '5452', '4510', '882', '885', '2986', '3184', '3705', '3432', '1710', '3048', '3496', '3335', '', '', '1157', '1159', '131.6', '138.0', '177.7', '172.5', '1.35', '1.25', '757.7', '720.2', '303.5', '306.9', '', '', '1278', '1263', '43.5', '36.6', '84895', '55985', '3650', '2631']
['Athlete 11', 'Squat Jump', '12/12/2019 11:52', '101', 'Trial 2', '', '', '', '', '-3.6', '2.8', '6.3', '0.7', '-27.3', '-3.6', '-78.9', '60.6', '-11.5', '-8.1', '', '-5.7', '8.1', '-9.7', '-17.0', '-12.7', '-5.5', '', '-4.3', '11.3', '-27.9', '-20.4', '', '', '411.5', '396.6', '44.6', '45.8', '0.11', '0.12', '23.2', '23.4', '5228', '3802', '760', '732', '-755', '-422', '273', '694', '-718', '-644', '1740', '1599', '', '', '1138', '1073', '135.2', '147.1', '276.3', '249.5', '2.04', '1.70', '786.0', '686.3', '330.6', '312.5', '', '', '1224', '1171', '38.3', '43.1', '71133', '51308', '3414', '2719']
['Athlete 12', 'Squat Jump', '12/12/2019 10:33', '88.9', 'Trial 1', '', '', '', '', '11.1', '10.1', '-1.1', '8.0', '8.2', '11.1', '-53.9', '28.9', '-26.8', '2.2', '', '10.0', '13.9', '9.4', '-5.0', '11.8', '10.0', '', '4.6', '35.6', '40.3', '34.0', '', '', '318.0', '357.5', '38.3', '42.5', '0.12', '0.12', '19.7', '21.5', '5254', '5724', '643', '723', '-477', '-310', '1019', '1434', '-596', '-470', '1499', '1533', '', '', '893', '992', '115.4', '134.0', '202.6', '223.5', '1.76', '1.67', '755.0', '855.7', '262.0', '291.1', '', '', '991', '1039', '46.8', '72.7', '23915', '40043', '2009', '3043']
['Athlete 12', 'Squat Jump', '12/12/2019 10:33', '88.9', 'Trial 2', '', '', '', '', '9.2', '7.2', '-2.2', '5.5', '19.6', '9.3', '-25.0', '27.5', '-42.6', '5.9', '', '6.4', '10.1', '8.8', '-1.5', '14.7', '8.6', '', '5.5', '31.5', '32.4', '30.4', '', '', '334.1', '368.2', '38.6', '41.6', '0.12', '0.11', '20.2', '21.4', '6058', '7532', '643', '708', '-681', '-545', '663', '914', '-582', '-408', '1301', '1382', '', '', '922', '985', '119.3', '132.7', '214.9', '235.5', '1.80', '1.78', '757.4', '888.0', '266.7', '291.9', '', '', '975', '1031', '41.7', '60.8', '36045', '53319', '2487', '3572']
['Athlete 12', 'Squat Jump', '12/12/2019 10:33', '88.9', 'Trial 3', '', '', '', '', '4.7', '-0.3', '-5.0', '0.1', '17.4', '4.7', '38.2', '10.5', '0.0', '3.8', '', '3.2', '2.4', '5.8', '3.5', '-10.9', '5.6', '', '3.9', '-18.0', '-47.4', '-30.8', '', '', '362.1', '379.9', '41.1', '41.0', '0.11', '0.11', '21.0', '21.0', '6702', '8116', '639', '670', '-359', '-496', '-356', '-394', '0', '-508', '1227', '1276', '', '', '938', '970', '121.2', '124.1', '241.0', '255.8', '1.99', '2.06', '847.0', '754.8', '272.2', '288.4', '', '', '992', '1033', '49.8', '40.9', '74920', '39435', '4046', '2800']
