['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 17', 'Squat Jump', '12/10/2019 08:41', '66.1', 'Trial 2', '', '', '', '', '4.6', '6.7', '2.2', '5.0', '10.7', '4.6', '20.8', '16.6', '26.0', '1.2', '', '-1.3', '7.5', '2.2', '-5.4', '-6.1', '4.5', '', '1.6', '-30.8', '-29.2', '-16.1', '', '', '206.3', '216.1', '38.9', '41.7', '0.19', '0.19', '17.7', '18.7', '2168', '2428', '482', '505', '1226', '1548', '682', '818', '1164', '1574', '1082', '1096', '', '', '640', '632', '90.4', '97.7', '115.9', '118.4', '1.28', '1.21', '520.2', '488.5', '202.9', '212.5', '', '', '678', '689', '22.2', '15.3', '33929', '24033', '1289', '1082']
['Athlete 18', 'Squat Jump', '12/10/2019 08:41', '67.6', 'Trial 1', '', '', '', '', '1.3', '2.3', '1.0', '1.1', '9.6', '1.3', '19.3', '12.1', '32.1', '12.6', '', '1.3', '3.2', '-0.3', '-3.5', '-24.1', '2.4', '', '4.4', '-16.6', '-75.2', '-65.8', '', '', '211.9', '214.8', '39.8', '40.7', '0.19', '0.19', '18.0', '18.2', '1870', '2068', '507', '514', '1350', '1673', '1152', '1310', '892', '1314', '917', '1048', '', '', '613', '621', '98.6', '101.8', '113.3', '113.0', '1.15', '1.11', '486.7', '369.2', '206.2', '211.1', '', '', '636', '666', '51.6', '43.0', '24168', '5994', '1909', '653']
['Athlete 18', 'Squat Jump', '12/10/2019 08:41', '67.6', 'Trial 2', '', '', '', '', '-3.8', '-4.7', '-1.0', '-0.4', '-20.1', '-3.8', '-35.5', '-12.5', '-45.8', '-3.5', '', '-0.5', '-6.1', '-1.6', '4.5', '-10.4', '-3.6', '', '1.0', '16.2', '-70.0', '-47.2', '', '', '227.8', '219.2', '41.8', '39.9', '0.18', '0.18', '18.5', '18.4', '2342', '1872', '521', '501', '1920', '1239', '1331', '1165', '1646', '892', '860', '830', '', '', '613', '609', '111.0', '104.3', '116.8', '115.0', '1.05', '1.10', '483.3', '432.9', '222.9', '214.9', '', '', '629', '636', '49.0', '58.5', '16914', '5075', '1336', '705']
['Athlete 19', 'Squat Jump', '12/10/2019 08:40', '69.8', 'Trial 1', '', '', '', '', '-5.6', '-14.0', '-8.9', '-16.1', '-8.1', '-5.6', '2.4', '20.6', '-22.4', '5.5', '', '-6.5', '-8.2', '-3.1', '5.3', '5.2', '-5.4', '', '-4.1', '-7.3', '73.7', '60.5', '', '', '219.7', '207.4', '50.3', '43.3', '0.23', '0.21', '22.3', '18.7', '2898', '2662', '558', '527', '2001', '2051', '1078', '1357', '2812', '2182', '1117', '1182', '', '', '680', '636', '105.2', '96.5', '114.5', '110.9', '1.09', '1.15', '446.1', '470.8', '215.4', '203.7', '', '', '707', '678', '43.4', '40.2', '9086', '34516', '872', '2209']
['Athlete 19', 'Squat Jump', '12/10/2019 08:40', '69.8', 'Trial 2', '', '', '', '', '-3.0', '-2.1', '0.9', '-1.4', '-9.4', '-3.0', '18.5', '-8.4', '2.4', '-3.6', '', '-5.3', '-5.6', '-1.3', '4.3', '14.1', '-3.3', '', '-2.0', '30.7', '66.5', '55.9', '', '', '237.0', '229.9', '31.1', '30.5', '0.13', '0.13', '16.2', '16.0', '3978', '3606', '518', '502', '-335', '-397', '1329', '1217', '-508', '-520', '1132', '1092', '', '', '694', '658', '95.0', '89.7', '142.1', '140.2', '1.50', '1.56', '410.3', '477.5', '195.4', '188.9', '', '', '737', '722', '34.8', '50.2', '7764', '23158', '745', '1690']
['Athlete 20', 'Squat Jump', '12/10/2019 08:04', '73.1', 'Trial 1', '', '', '', '', '-3.8', '8.6', '12.0', '8.6', '-5.9', '-3.8', '2.3', '-27.1', '26.8', '-25.2', '', '-13.0', '4.2', '-10.3', '-14.1', '-4.2', '-3.3', '', '-8.5', '-61.7', '-11.0', '-40.3', '', '', '247.0', '237.7', '41.1', '44.9', '0.17', '0.19', '18.8', '20.6', '2094', '1970', '510', '491', '1258', '1288', '641', '467', '1042', '1424', '947', '709', '', '', '685', '596', '110.3', '115.1', '136.7', '122.6', '1.24', '1.07', '640.9', '614.1', '241.3', '233.5', '', '', '710', '650', '55.7', '21.3', '19841', '17655', '1389', '830']
['Athlete 20', 'Squat Jump', '12/10/2019 08:04', '73.1', 'Trial 2', '', '', '', '', '-12.5', '1.1', '13.5', '1.6', '-13.5', '-12.5', '-4.1', '-11.3', '4.0', '-32.7', '', '-19.5', '-0.8', '-22.6', '-22.0', '-14.7', '-9.5', '', '-15.5', '-6.8', '-6.0', '4.9', '', '', '254.4', '222.5', '42.9', '43.4', '0.17', '0.19', '19.7', '20.1', '1662', '1438', '530', '464', '1376', '1320', '852', '756', '1214', '1264', '946', '636', '', '', '715', '576', '117.3', '116.4', '137.2', '106.1', '1.17', '0.91', '654.8', '558.3', '243.7', '220.5', '', '', '720', '609', '36.6', '34.2', '24863', '23376', '1467', '1543']
['Athlete 21', 'Squat Jump', '12/9/2019 09:37', '67.6', 'Trial 1', '', '', '', '', '0.7', '3.1', '2.4', '3.9', '15.7', '0.7', '-73.3', '0.8', '54.5', '2.5', '', '6.2', '0.7', '0.7', '0.0', '-5.3', '-0.1', '', '3.8', '26.5', '9.5', '7.4', '', '', '273.8', '275.8', '31.2', '32.2', '0.11', '0.12', '15.4', '16.0', '2466', '2924', '470', '473', '303', '81', '1127', '1137', '-224', '-346', '628', '644', '', '', '601', '641', '126.2', '127.1', '147.6', '148.6', '1.17', '1.17', '539.0', '510.6', '243.7', '243.5', '', '', '630', '655', '36.9', '50.2', '12216', '13505', '1063', '1148']
['Athlete 21', 'Squat Jump', '12/9/2019 09:37', '67.6', 'Trial 2', '', '', '', '', '1.7', '2.4', '0.7', '1.5', '-22.7', '1.7', '-100.0', '-100.0', '100.0', '1.3', '', '1.7', '4.2', '0.0', '-4.2', '-0.2', '-0.1', '', '0.9', '-3.7', '2.0', '0.6', '', '', '349.2', '355.1', '31.4', '32.1', '0.09', '0.09', '15.9', '16.1', '2838', '2194', '422', '430', '-161', '-68', '-58', '-18', '-160', '62', '422', '427', '', '', '619', '629', '135.1', '141.0', '214.1', '214.1', '1.58', '1.52', '548.8', '547.8', '244.5', '244.3', '', '', '640', '646', '39.8', '38.4', '28697', '29294', '1923', '1933']
['Athlete 22', 'Squat Jump', '12/9/2019 09:12', '69.1', 'Trial 1', '', '', '', '', '-3.1', '-4.7', '-1.6', '-8.7', '30.9', '-3.1', '58.6', '30.1', '64.7', '21.3', '', '1.5', '-3.5', '-2.7', '0.8', '-3.1', '-2.1', '', '4.2', '-29.6', '-7.5', '-10.9', '', '', '252.6', '244.8', '39.3', '37.4', '0.16', '0.15', '19.1', '17.4', '1610', '2330', '479', '464', '390', '942', '331', '474', '372', '1054', '691', '877', '', '', '639', '649', '110.1', '106.2', '142.5', '138.6', '1.29', '1.31', '503.6', '488.1', '246.8', '241.6', '', '', '668', '697', '32.4', '22.8', '33525', '30994', '1844', '1643']
['Athlete 22', 'Squat Jump', '12/9/2019 09:12', '69.1', 'Trial 2', '', '', '', '', '-1.0', '-9.8', '-8.9', '-10.8', '31.5', '-1.0', '12.8', '-22.7', '13.3', '26.4', '', '11.5', '-10.1', '6.1', '15.5', '15.9', '-1.5', '', '9.2', '30.5', '61.9', '52.2', '', '', '260.5', '258.0', '38.2', '34.4', '0.15', '0.13', '18.7', '16.7', '1586', '2316', '472', '468', '335', '384', '520', '402', '248', '286', '636', '864', '', '', '612', '692', '117.0', '105.2', '143.5', '152.8', '1.23', '1.45', '457.1', '543.9', '257.2', '253.4', '', '', '653', '719', '34.1', '49.1', '11715', '30760', '984', '2061']
['Athlete 22', 'Squat Jump', '12/9/2019 09:12', '69.1', 'Trial 3', '', '', '', '', '4.5', '-6.1', '-10.3', '-6.4', '5.5', '4.5', '-1.9', '20.4', '-20.6', '17.9', '', '5.7', '-1.7', '9.3', '10.9', '-8.0', '4.7', '', '6.4', '-14.2', '-13.3', '-3.7', '', '', '240.5', '251.8', '39.2', '36.8', '0.16', '0.15', '18.8', '17.6', '1698', '1796', '456', '477', '644', '632', '483', '607', '718', '570', '631', '769', '', '', '607', '644', '111.9', '110.0', '128.5', '141.8', '1.15', '1.29', '511.3', '470.3', '236.1', '247.7', '', '', '634', '677', '34.2', '29.3', '23054', '19981', '1452', '1399']
