'Athlete 5','Countermovement Jump','9/28/2020 08:19','66.8','Trial 2','','42.3','0.48','656','1165','0.8','-2.3','-8','-8.2','2828','1363','29.0','70.2','19.9
'Athlete 5','Countermovement Jump','9/28/2020 08:19','66.8','Trial 3','','41.1','0.44','655','1118','6.7','9.2','-14','-14.3','2743','1348','27.0','67.3','-20.7
'Athlete 10','Countermovement Jump','9/22/2020 13:13','76.1','Trial 1','','43.4','0.63','747','1445','-12.6','-14.9','-12','-12.0','3302','1806','26.4','85.5','-23.5
'Athlete 10','Countermovement Jump','9/22/2020 13:13','76.1','Trial 2','','45.0','0.66','748','1473','-15.6','-9.3','-5','-5.4','3424','1851','26.6','86.3','7.3
'Athlete 10','Countermovement Jump','9/22/2020 13:13','76.1','Trial 3','','44.1','0.66','747','1521','-11.1','-5.8','-7','-7.0','3359','1997','24.1','105.7','-16.5
'Athlete 11','Countermovement Jump','9/22/2020 13:12','65.4','Trial 1','','50.7','0.69','643','1257','20.5','17.6','5','4.7','3318','1423','37.8','89.4','33.4
'Athlete 11','Countermovement Jump','9/22/2020 13:12','65.4','Trial 2','','52.7','0.71','643','1284','12.9','2.9','-3','-2.5','3448','1478','37.5','101.0','-10.6
'Athlete 11','Countermovement Jump','9/22/2020 13:12','65.4','Trial 3','','51.3','0.68','643','1241','19.4','13.1','1','1.0','3356','1439','35.6','102.4','53.9
'Athlete 12','Countermovement Jump','9/22/2020 13:11','71.9','Trial 1','','37.9','0.46','705','1110','-2.2','1.2','5','5.3','2726','1210','27.2','77.2','28.1
'Athlete 12','Countermovement Jump','9/22/2020 13:11','71.9','Trial 2','','37.6','0.46','706','1107','0.9','-6.7','0','0.3','2705','1250','27.0','66.2','13.7
'Athlete 12','Countermovement Jump','9/22/2020 13:11','71.9','Trial 3','','37.8','0.49','706','1118','-3.1','-11.6','6','6.1','2717','1279','26.8','54.9','32.8
'Athlete 6','Countermovement Jump','9/22/2020 13:10','73.1','Trial 1','','38.6','0.61','718','1257','1.9','4.1','-3','-2.9','2820','1583','24.5','77.9','-43.7
